date,x[km],y[km],z[m]
20170105,7.805028990836121,-23.29439651248822,-55.884033525
20170106,7.8050269395207295,-23.29439971969441,-55.885056355
20170107,7.805026118483397,-23.294398322499546,-55.889057934
20170108,7.805028899131344,-23.29439784540864,-55.904970956
20170109,7.80502641866741,-23.294393988110187,-55.903002529999995
20170110,7.805030063765713,-23.29439423929034,-55.896263865
20170111,7.805029422938603,-23.29439028518118,-55.898465575
20170112,7.805031066359945,-23.294392968665306,-55.885977691
20170113,7.805026439262676,-23.294393763520475,-55.879490427
20170114,7.805028334642188,-23.294392779683676,-55.89119195200001
20170115,7.80503175999992,-23.29439625654277,-55.884946057
20170116,7.805027279355443,-23.294394828411896,-55.88333467499999
20170117,7.805034252634513,-23.29439999941951,-55.893406476
20170118,7.805030786134537,-23.29439708259224,-55.883997990999994
20170119,7.805024955164285,-23.294401929588275,-55.895863268
20170120,7.805025252769241,-23.294397702055903,-55.900406405999995
20170121,7.805020729381951,-23.294396723168575,-55.896721305999996
20170122,7.805024279075212,-23.294398420322068,-55.897051445
20170123,7.805026227677715,-23.29439676511538,-55.894534687
20170124,7.805030971884037,-23.294394520329206,-55.892602694000004
20170125,7.805032150266115,-23.29439069194632,-55.890016957
20170126,7.805028554500552,-23.29438966587759,-55.886734135
20170127,7.805031204417929,-23.294391076527518,-55.900435992999995
20170128,7.805026390646347,-23.29440772127009,-55.891164207
20170129,7.805027031369619,-23.294398494542747,-55.893157048
20170130,7.805025637873925,-23.294405435512544,-55.888295239
20170131,7.805031714961984,-23.294396922456144,-55.892203972000004
20170201,7.805032270184839,-23.294388805672952,-55.893836992
20170202,7.805030872385487,-23.29439585766795,-55.894902841
20170203,7.805031094995442,-23.294392632897598,-55.902459588000006
20170204,7.805025181450873,-23.294398595869097,-55.88348818200001
20170205,7.805029891559045,-23.294396796901765,-55.890207611
20170206,7.805028263065267,-23.294393782308816,-55.888254914
20170207,7.805026884724384,-23.294400498906725,-55.888731162999996
20170208,7.805026201221864,-23.294397100793503,-55.890647085999994
20170209,7.8050298038353105,-23.29439802086108,-55.88596884500001
20170210,7.805026133052422,-23.294398211056432,-55.889704753
20170211,7.805029149683534,-23.29439417814592,-55.882631651
20170212,7.805029058600894,-23.29439551104224,-55.887499842000004
20170213,7.805026222063219,-23.294396769440937,-55.896688156
20170214,7.805027838994391,-23.294400004158433,-55.87950872300001
20170215,7.805025994768016,-23.29440010217877,-55.88774492700001
20170216,7.805026315179177,-23.2943954344114,-55.886721068
20170217,7.805028194695012,-23.294394781725714,-55.890222785000006
20170218,7.805025171922054,-23.294398813859516,-55.893635866
20170219,7.805027337673465,-23.29439393820212,-55.886967402
20170220,7.805028217254204,-23.294394448254934,-55.896174108000004
20170221,7.805029034386038,-23.294395953384992,-55.87840015799999
20170222,7.80503121129702,-23.294390964370905,-55.895982341999996
20170223,7.805026157102901,-23.294397874447895,-55.88906574799999
20170224,7.80503073947051,-23.29439774754701,-55.889526856
20170225,7.805033133139474,-23.294402828767033,-55.88651715700001
20170226,7.805028770889038,-23.29439973304852,-55.884292581000004
20170227,7.805033785651673,-23.294393486609806,-55.889972439000005
20170228,7.805025248202497,-23.294397593440408,-55.886950666000004
20170301,7.805023121264185,-23.294388513797003,-55.89967887000001
20170302,7.8050294570548004,-23.29438973158767,-55.896383549999996
20170303,7.805025675765705,-23.294391478197667,-55.897664725000006
20170304,7.805028535086194,-23.294389887343186,-55.89942664499999
20170305,7.80502823269029,-23.29439433369953,-55.899889529000006
20170306,7.805032488563683,-23.294398878913398,-55.897467606999996
20170307,7.805029833410757,-23.2943976830029,-55.886136918999995
20170308,7.805024263138662,-23.294398750449545,-55.888871415
20170309,7.805025104011648,-23.29439981530868,-55.900570550000005
20170310,7.805019774633692,-23.294397219985512,-55.894273144
20170311,7.805025501542147,-23.29439403384049,-55.889753496
20170312,7.805029181591237,-23.294393840193607,-55.903851411000005
20170313,7.805029253554636,-23.29439283858119,-55.891032943000006
20170314,7.8050282596287985,-23.29439389022218,-55.893439576000006
20170315,7.80503189495532,-23.29439436247958,-55.894747106
20170316,7.805027982698874,-23.294397892136658,-55.886859062
20170317,7.805027892544757,-23.29439922499614,-55.88781398199999
20170318,7.805027202473482,-23.29439593902589,-55.889414186
20170319,7.805030724327551,-23.294397969864804,-55.88669532
20170320,7.805023568718809,-23.294395464655736,-55.889052971
20170321,7.80502819547965,-23.294394779643426,-55.892344083
20170322,7.805029003167178,-23.294396398059234,-55.89063011700001
20170323,7.805024756526464,-23.29439152709074,-55.900362351
20170324,7.805032762828162,-23.294395090612852,-55.896420074999995
20170325,7.805027310273147,-23.294394381698567,-55.898966868
20170326,7.8050255503924575,-23.29439336674477,-55.896671090000005
20170327,7.805025399823549,-23.294395588874522,-55.885360287
20170328,7.8050299674391255,-23.29439568325097,-55.88148624600001
20170329,7.805029163102631,-23.294394063674645,-55.887964057000005
20170330,7.805031969033536,-23.294393251977453,-55.887225437
20170331,7.805030959880554,-23.29439463269364,-55.89846582700001
20170401,7.8050275621466625,-23.294390715405825,-55.898174102000006
20170402,7.805026259985752,-23.294396320392934,-55.888746823000005
20170403,7.805024484499469,-23.294395527781035,-55.883195785
20170404,7.805025342935238,-23.294396367147783,-55.884077317999996
20170405,7.805028124118337,-23.294395891060958,-55.886444094000005
20170406,7.80502559504437,-23.2943926998214,-55.897766332
20170407,7.8050308852533306,-23.294395744243957,-55.898112607
20170408,7.805031051672287,-23.29439329874367,-55.906383909
20170409,7.8050244254977486,-23.29439630921479,-55.897778894000005
20170410,7.805026171134912,-23.294397762001154,-55.893288284
20170411,7.805025352528318,-23.294396255906122,-55.898445423999995
20170412,7.805024479736346,-23.294395636777153,-55.892890855000005
20170413,7.805027110837628,-23.294397272969945,-55.896360433999995
20170414,7.805028997839074,-23.294396615880032,-55.890920366
20170415,7.805030699557861,-23.294398518980415,-55.891021929000004
20170416,7.805028995888307,-23.294396616983704,-55.8850962
20170417,7.8050289955956345,-23.29439650921904,-55.89944400500001
20170418,7.8050273325787884,-23.29439415703655,-55.889038543999995
20170419,7.805026133144395,-23.294398207975973,-55.88286098299999
20170420,7.805025353077326,-23.294396254858384,-55.902033583999994
20170421,7.805024556851478,-23.29439452512588,-55.89755147
20170422,7.805027977682073,-23.294398109943813,-55.904228281
20170423,7.805027298164788,-23.29439460286767,-55.887699137000006
20170424,7.805031660710696,-23.294397806349025,-55.892110116999994
20170425,7.80503180721368,-23.294395694215837,-55.886278569
20170426,7.80503653725539,-23.294393454105375,-55.878936174
20170427,7.805025515262855,-23.29439392140648,-55.895170224
20170428,7.805028417291695,-23.294391664732302,-55.88339482799999
20170429,7.805023537472124,-23.294396019159194,-55.899535065
20170430,7.805021705966439,-23.29439589803451,-55.90167770600001
20170501,7.805029206540198,-23.294393615426088,-55.889797365999996
20170502,7.805024431809784,-23.294396305884675,-55.900033038000004
20170503,7.805027360278885,-23.29439382130522,-55.88709889300001
20170504,7.805023521395867,-23.294396241514733,-55.895031467
20170505,7.805027893848248,-23.294399333744423,-55.89311832199999
20170506,7.805023172100661,-23.294401353864487,-55.89299976
20170507,7.805029276635267,-23.294392613887794,-55.895460346
20170508,7.8050254536019565,-23.29439481072677,-55.897178018
20170509,7.805026354036642,-23.294394985327017,-55.89568352999999
20170510,7.805024199604517,-23.294399641897144,-55.898050476
20170511,7.805025151529122,-23.294399255019925,-55.886154352999995
20170512,7.805027033245196,-23.294398492416803,-55.904629596
20170513,7.805026379394704,-23.294394651740276,-55.892107788000004
20170514,7.805028427744517,-23.294391552431534,-55.900214782
20170515,7.805026581398565,-23.294391759339305,-55.88819930799999
20170516,7.805024793124758,-23.294391079121397,-55.895324114
20170517,7.805028239725047,-23.29439422153746,-55.890357814999994
20170518,7.805024331031362,-23.294397858829143,-55.891652187000005
20170519,7.805025548741682,-23.294393475614925,-55.89780528
20170520,7.805029240432901,-23.294393060816674,-55.895130834999996
20170521,7.8050263167184255,-23.29439554212604,-55.897080542
20170522,7.8050311511728125,-23.29439196140538,-55.890154331
20170523,7.805025554675609,-23.294393365547876,-55.89628655600001
20170524,7.805023710604644,-23.294393463560937,-55.888082111
20170525,7.805023689214011,-23.29439379596033,-55.894845892000006
20170526,7.8050255521877006,-23.294393365648375,-55.897889123999995
20170527,7.8050255115056615,-23.294394031386673,-55.88540361300001
20170528,7.805023495024656,-23.29439657616831,-55.898061218
20170529,7.805027401500141,-23.294393156571005,-55.888571602999995
20170530,7.805025517989193,-23.294393920271432,-55.900093483
20170531,7.805023730239242,-23.294393348834546,-55.904442895
20170601,7.80502700452017,-23.29438564530119,-55.89921908899999
20170602,7.8050246690963405,-23.294392858812444,-55.88989861700001
20170603,7.8050221220573945,-23.294389999836312,-55.886154004999995
20170604,7.80502646040928,-23.29439353788075,-55.889653544000005
20170605,7.805023815557362,-23.294392123950274,-55.88772395899999
20170606,7.805027482582844,-23.29439204373375,-55.894979419
20170607,7.805028447536756,-23.294391437700597,-55.904373892
20170608,7.805027610285904,-23.294390155091605,-55.89618278300001
20170609,7.805027472735972,-23.294392263787813,-55.893069188
20170610,7.805027451905417,-23.29439248941344,-55.904486557
20170611,7.805023742329567,-23.294393235441476,-55.878159472
20170612,7.805017585365562,-23.294389353017323,-55.905600688999996
20170613,7.8050246438526045,-23.29439340999852,-55.90675369299999
20170614,7.805024530901221,-23.294395077364697,-55.889991976
20170615,7.805028122607041,-23.294396107699868,-55.904012903
20170616,7.8050293115132945,-23.294392168039394,-55.884351736999996
20170617,7.805025801075388,-23.294389915032298,-55.894936891
20170618,7.805023853023883,-23.29439156919352,-55.889772452
20170619,7.805023884634252,-23.294391123477453,-55.896326964000004
20170620,7.80502273264365,-23.294394509430276,-55.895133965999996
20170621,7.805024512159065,-23.294395409654044,-55.884536997000005
20170622,7.805030964216456,-23.294394740293228,-55.88971891
20170623,7.8050238910190615,-23.2943911211687,-55.88754127400001
20170624,7.805027737815976,-23.294388374231403,-55.891109032
20170625,7.805030324277013,-23.294390675299383,-55.899218141999995
20170626,7.805022374632642,-23.29438633249083,-55.891478566
20170627,7.8050292491573,-23.294393056361514,-55.904313325
20170628,7.805023692155373,-23.29439390361722,-55.888215986
20170629,7.805027519747966,-23.294391486939276,-55.896697984
20170630,7.805030773711167,-23.29439740950238,-55.884940703000005
20170701,7.805025903415867,-23.29438835997371,-55.893408437000005
20170702,7.805027800178976,-23.29438748386019,-55.911806002999995
20170703,7.805031322974472,-23.29438940688442,-55.89402574
20170704,7.805024214663192,-23.294386234642843,-55.92224262
20170705,7.805025703971509,-23.294391359026122,-55.89481661799999
20170706,7.805027360038707,-23.29439382234068,-55.88783759900001
20170707,7.805024052527855,-23.29438867894123,-55.89514211000001
20170708,7.80502293626661,-23.294391723712124,-55.892638972
20170709,7.805028636833072,-23.294388656666342,-55.881709053
20170710,7.805024862570335,-23.29439018743551,-55.901743672
20170711,7.805025560661093,-23.29439347000516,-55.899540234999996
20170712,7.805033081552708,-23.294390747267244,-55.905485588
20170713,7.805021839546157,-23.294394328379894,-55.894835873
20170714,7.805025452806376,-23.29439491853418,-55.89996305900001
20170715,7.805028371602404,-23.2943925462273,-55.893143939000005
20170716,7.805027273952376,-23.294395045208603,-55.893612453
20170717,7.805037089675778,-23.294385771616362,-55.893693047999996
20170718,7.805029503159815,-23.29438927913361,-55.88742901199999
20170719,7.805026048267834,-23.29438635670749,-55.89046531099999
20170720,7.805026762393183,-23.29438920034363,-55.903581247999995
20170721,7.805029113900375,-23.29439494838789,-55.879572773
20170722,7.805025600809373,-23.29439269753675,-55.880168112
20170723,7.805026606329363,-23.294391642348728,-55.885492726
20170724,7.805024748299374,-23.294391853830803,-55.88164946
20170725,7.805027929846432,-23.294385486335614,-55.901325388000004
20170726,7.805022112057301,-23.29439021989492,-55.900140985
20170727,7.805032261539253,-23.29438924327951,-55.89755145099999
20170728,7.8050247629055605,-23.294391630508926,-55.898127387
20170729,7.805021933784019,-23.29439277775282,-55.890651033000005
20170730,7.805027792207667,-23.294387701786036,-55.888549302
20170731,7.805020071660522,-23.294393209054306,-55.89910027
20170801,7.8050277068325045,-23.294388817870185,-55.905692812
20170802,7.805023946846362,-23.294390233113518,-55.88655472200001
20170803,7.805029392763046,-23.294391053147137,-55.90150887600001
20170804,7.805030199530421,-23.29439256382284,-55.899059744999995
20170805,7.805030979597703,-23.294394516939974,-55.889256366999994
20170806,7.805028324377844,-23.294393214280717,-55.901754258
20170807,7.805037828069999,-23.29438817803475,-55.889038359
20170808,7.805030298116378,-23.294391118743988,-55.916281165
20170809,7.805022214064024,-23.29438877467919,-55.899494103
20170810,7.805028474402263,-23.294390993201432,-55.89809146
20170811,7.805022294796643,-23.294387445277607,-55.896273569
20170812,7.805027801111933,-23.29438748382063,-55.870746064
20170813,7.805030294203775,-23.294391228731456,-55.894800351
20170814,7.805028687567102,-23.294387881716375,-55.882512849
20170815,7.805028306428341,-23.294393438765383,-55.88478312299999
20170816,7.805030874373628,-23.294396073140888,-55.903380744
20170817,7.805023638376852,-23.29439468176406,-55.898288638000004
20170818,7.805025594722025,-23.29439280761153,-55.900917849
20170819,7.8050276198884205,-23.294390041799033,-55.878666717
20170820,7.805027671325021,-23.294389265797236,-55.887665976
20170821,7.805029685867368,-23.294386720068815,-55.881983575
20170822,7.805031100755912,-23.294392630612037,-55.892377358999994
20170823,7.8050266595170825,-23.294390648670742,-55.894737299999996
20170824,7.805025454461926,-23.294394809665846,-55.895473766
20170825,7.805028163286849,-23.29439544196157,-55.906900032
20170826,7.805026680381275,-23.294390207494416,-55.89455537400001
20170827,7.805024642697418,-23.294393303294328,-55.89350011
20170828,7.8050322334708255,-23.29438947022527,-55.903690372
20170829,7.805027669840726,-23.294389266882263,-55.891302544
20170830,7.805025306865346,-23.294383632206973,-55.91221301299999
20170831,7.80502581607854,-23.294389584941655,-55.893576724999996
20170901,7.805024692197094,-23.2943925263462,-55.906773483
20170902,7.805026529019585,-23.294392537428394,-55.877404299999995
20170903,7.805027267926263,-23.294395158355655,-55.888496428
20170904,7.8050327583486165,-23.29439530942045,-55.916113005
20170905,7.805025815385747,-23.29438958394485,-55.884601082
20170906,7.805027021707502,-23.29438531307187,-55.908199564
20170907,7.80502761466289,-23.29439004508731,-55.896824886
20170908,7.805025705951621,-23.29439114236493,-55.901952220000005
20170909,7.80502834181371,-23.29439277529127,-55.88567449999999
20170910,7.80502761630261,-23.294390043994554,-55.883054161
20170911,7.805025554465132,-23.294393256754574,-55.893262609000004
20170912,7.8050284023039325,-23.294391887045094,-55.904759735
20170913,7.8050266479027925,-23.294390759994712,-55.893151288999995
20170914,7.80502471194184,-23.294392300763775,-55.90547731099999
20170915,7.8050267111184155,-23.29438987061394,-55.886418842000005
20170916,7.805025808835865,-23.29438958831315,-55.908290377
20170917,7.805025951506565,-23.29438758513379,-55.90895920999999
20170918,7.80502863536671,-23.294388549973064,-55.899557812999994
20170919,7.80502561564127,-23.29439247523078,-55.908156536999996
20170920,7.805027809334575,-23.29438715708193,-55.887254928000004
20170921,7.805029927528693,-23.29439645468483,-55.876055648
20170922,7.805025644290609,-23.294392031685675,-55.888679880999995
20170923,7.805025763484409,-23.29439025423926,-55.897872693000004
20170924,7.805023876236405,-23.29439102014385,-55.89516909900001
20170925,7.80502842987363,-23.29439144149228,-55.880913434
20170926,7.805025964454515,-23.294387470680704,-55.898128861
20170927,7.805025782060341,-23.294390029730494,-55.891602625
20170928,7.805027690223071,-23.29438893349743,-55.90374007
20170929,7.805022551744955,-23.294383773655227,-55.904278618
20170930,7.80503101222962,-23.294393964430583,-55.891601767000004
20171001,7.805028266645039,-23.29439388583978,-55.898171724
20171002,7.80502471585433,-23.29439219077767,-55.891999413
20171003,7.805030261118304,-23.29439167348164,-55.90234993200001
20171004,7.805021298369624,-23.29438860479877,-55.887316258999995
20171005,7.805024940021227,-23.29438896594411,-55.891124006
20171006,7.805027860458466,-23.29438648681844,-55.893675953999995
20171007,7.805030293850805,-23.294391012166216,-55.885207402999995
20171008,7.805028484728652,-23.29439066535224,-55.882700847
20171009,7.805027306433644,-23.294394492705123,-55.900589890000006
20171010,7.805025525034182,-23.29439370033151,-55.896090545999996
20171011,7.805023998549785,-23.294389240520104,-55.906922134
20171012,7.805023095316486,-23.294389066033546,-55.905717454
20171013,7.805024127790361,-23.29438745959078,-55.893459193999995
20171014,7.805025220156992,-23.294384855098997,-55.896177736000006
20171015,7.805022373699828,-23.294386332527665,-55.89160125899999
20171016,7.805022299328584,-23.294387335265583,-55.907985567999994
20171017,7.80502389236959,-23.294390906586614,-55.892502171000004
20171018,7.805018358727224,-23.294391310509127,-55.886924299
20171019,7.805026777755472,-23.294388981089924,-55.895354334
20171020,7.805022954779673,-23.294391286729024,-55.88585998599999
20171021,7.8050219192437424,-23.294393004148333,-55.903822381999994
20171022,7.8050255897095155,-23.294392919692655,-55.905696252
20171023,7.805024374249044,-23.294397303837286,-55.906201243
20171024,7.805025789213261,-23.29439002944264,-55.909030071000004
20171025,7.805029227466548,-23.29439328304761,-55.893916609
20171026,7.805023903762816,-23.294390792194918,-55.901587717000005
20171027,7.805022887751818,-23.294392177288955,-55.892879912
20171028,7.805026420051348,-23.29439409582801,-55.898025719
20171029,7.8050193146506786,-23.294390706892045,-55.915557186
20171030,7.805025563024799,-23.2943932543576,-55.88381726200001
20171031,7.805025778220511,-23.29439014073796,-55.889441739
20171101,7.805026596865844,-23.29439142922911,-55.886593054
20171102,7.805025613620174,-23.294392475314908,-55.89280482499999
20171103,7.805026195417852,-23.2943973206834,-55.889621345
20171104,7.805024894214355,-23.294389526164196,-55.894648655999994
20171105,7.805025882841321,-23.29438847678648,-55.907834933000004
20171106,7.805028822798164,-23.294385665338723,-55.88931223
20171107,7.80502597369987,-23.294387142874257,-55.893126972000005
20171108,7.805025650299498,-23.294391922640898,-55.896040318
20171109,7.805020093533443,-23.29439276885887,-55.892943620000004
20171110,7.805021992030319,-23.29439178284565,-55.898244555999995
20171111,7.805021911087209,-23.29439300345439,-55.893828584999994
20171112,7.805021832798715,-23.294394116178864,-55.892208145
20171113,7.805025490430879,-23.294394363773335,-55.89129174600001
20171114,7.8050258472270855,-23.294389139245595,-55.901865368
20171115,7.805028330483125,-23.29439299642945,-55.89459380500001
20171116,7.805025585977361,-23.294392919843176,-55.893693134
20171117,7.8050255579641,-23.294393255585874,-55.886468894
20171118,7.805025744179616,-23.294390695356014,-55.896062654000005
20171119,7.805021141779491,-23.29439093802239,-55.894636526000006
20171120,7.805020205282375,-23.294391318120233,-55.897899594
20171121,7.805024543729729,-23.294394747360457,-55.89894396700001
20171122,7.805022635780162,-23.294395952386367,-55.90322001199999
20171123,7.805024723695823,-23.294392297212653,-55.900524174000005
20171124,7.8050255709488425,-23.29439335976076,-55.895676057
20171125,7.805023836396401,-23.294391792598617,-55.896654352
20171126,7.805027578600573,-23.294390599785856,-55.910993319
20171127,7.805028369388552,-23.294392658193374,-55.900307117
20171128,7.805027283447217,-23.294395042772067,-55.900888234
20171129,7.805031061079944,-23.294393297337137,-55.90362136500001
20171130,7.8050257531507015,-23.294390584138455,-55.889850902000006
20171201,7.80502643796207,-23.29439408895223,-55.886731944000005
20171202,7.805029274121864,-23.294392723817964,-55.896991361999994
20171203,7.805022682231268,-23.29439517863875,-55.89192417
20171204,7.805027261820982,-23.294395376208286,-55.893076209
20171205,7.805025474391883,-23.294394802706393,-55.896465275999994
20171206,7.805030061849379,-23.294394459021532,-55.891758216999996
20171207,7.805022733347954,-23.294394508375717,-55.893801964999994
20171208,7.805024801277327,-23.294391185540462,-55.89121416599999
20171209,7.805029981593023,-23.29439578635356,-55.894745982
20171210,7.805020913226187,-23.29439427490979,-55.898299351000006
20171211,7.805027286429194,-23.29439493282416,-55.897974813000005
20171212,7.805027354628194,-23.294394041189207,-55.894238081000005
20171213,7.805025282422548,-23.29439736522363,-55.894523652
20171214,7.805025414148233,-23.294395584191534,-55.89117289600001
20171215,7.805026165411121,-23.294397980863778,-55.896925851999995
20171216,7.805028239683949,-23.294394439141797,-55.897419909
20171217,7.805024894646948,-23.294389741700797,-55.894515248999994
20171218,7.805026454447415,-23.294393757777016,-55.895333581
20171219,7.805030174245246,-23.294392898430942,-55.900878500000005
20171220,7.805025517266472,-23.294394029102932,-55.895751378
20171221,7.80502635399543,-23.29439520293181,-55.903194973000005
20171222,7.805025493774096,-23.294394362613275,-55.89759009099999
20171223,7.805021731769315,-23.294395777934824,-55.897473771
20171224,7.8050209206361245,-23.29439426948329,-55.905504898000004
20171225,7.805022018457066,-23.2943916627205,-55.887811126
20171226,7.805022031647042,-23.294391441506377,-55.901519482999994
20171227,7.805026527348318,-23.29439275407367,-55.893618629
20171228,7.805028249128725,-23.294394325856047,-55.892336201
20171229,7.8050274180114485,-23.29439314975025,-55.898882904
20171230,7.805027319892304,-23.294394594809546,-55.893767503
20171231,7.805025814720551,-23.294389801577836,-55.892830456000006
